,_RAJ2000,_DEJ2000,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,Simbad,NED,LEDA,_RA,_DE,id
212,228.89418,2.24819,PGC054452 ,1.17,0.189,0.175,G,0.435,0.316,0.416,0.307,F,F,Simbad,NED,LEDA,228.89418,2.24819,247
213,240.54458,7.08722,PGC056772 ,1.87,0.493,0.467,G,0.386,0.443,0.31,0.42,F,F,Simbad,NED,LEDA,240.54458,7.08722,248
214,246.51784,2.90655,PGC058114 ,1.95,0.185,0.213,R,0.228,0.159,0.176,0.132,F,F,Simbad,NED,LEDA,246.51784,2.90655,249
215,272.36075,19.11768,PGC061468 ,1.58,0.231,0.23,G,0.464,0.391,0.409,0.36,F,F,Simbad,NED,LEDA,272.36075,19.11768,250
216,352.12134,19.86396,PGC071531 ,2.35,0.305,0.235,R,0.323,0.263,0.333,0.266,F,F,Simbad,NED,LEDA,352.12134,19.86396,251
217,176.73172,-5.18774,PGC170172 ,2.08,0.195,0.372,G,0.287,0.192,0.324,0.218,F,F,Simbad,NED,LEDA,176.73172,-5.18774,252
218,131.02458,49.79397,UGC04551  ,1.59,0.137,0.137,G,0.252,0.205,0.277,0.214,F,F,Simbad,NED,LEDA,131.02458,49.79397,254
219,150.9661,59.43614,UGC05408  ,2.68,0.168,0.248,G,0.29,0.27,0.278,0.292,F,F,Simbad,NED,LEDA,150.9661,59.43614,255
220,164.65666,9.05047,UGC06062  ,1.55,0.449,0.449,C,0.472,0.325,0.475,0.332,F,F,Simbad,NED,LEDA,164.65666,9.05047,256
221,166.85275,21.65719,UGC06176  ,1.58,0.252,0.33,G,0.67,0.447,0.585,0.426,F,F,Simbad,NED,LEDA,166.85275,21.65719,257
222,209.24194,45.97318,UGC08876  ,1.93,0.408,0.18,S,0.311,0.182,0.341,0.189,F,F,Simbad,NED,LEDA,209.24194,45.97318,258
223,221.58803,34.37065,UGC09519  ,2.48,0.484,0.407,G,0.764,0.631,0.632,0.552,F,F,Simbad,NED,LEDA,221.58803,34.37065,259
