,Gal,Rmax,epse,epse_2,Band,V_sige,V_sige_2,lamRe,lamRe_2,F_S,F_S2,mu_e,er_mu_e,R_e,er_R_e,n,er_n,mu_e_b,er_mu_e_b,R_e_b,er_R_e_b,n_b,er_n_b,q_b,m0_d,er_m0_d,R_d,er_R_d,q_d,D/T,er_dt,lam_sqrt_eps
117,NGC4382   ,0.34,0.202,0.202,G,0.174,0.174,0.163,0.163,F,F,20.41,0.12   ,15.7 ,0.9   ,2.6,0.3 ,20.33 ,0.07     ,15.6 ,0.5     ,2.4,0.2   ,0.7,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.362670239984
118,NGC4387   ,1.1,0.373,0.351,G,0.391,0.315,0.399,0.317,F,F,22.32,0.49   ,133.5,63.4  ,5.1,1.3 ,18.60 ,0.10     ,10.4 ,0.6     ,1.9,0.2   ,0.79,19.31,0.02   ,51.0,0.7   ,0.77,0.83,0.009,0.535063965609
119,NGC4417   ,0.89,0.566,0.418,G,0.542,0.395,0.548,0.392,F,F,23.29,0.03   ,250.0,0.0   ,5.5,0.2 ,23.37 ,0.03     ,250.0,0.0     ,5.4,0.1   ,0.62,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.606314460392
120,NGC4425   ,0.62,0.676,0.587,G,0.438,0.363,0.454,0.384,F,F,19.93,0.04   ,24.6 ,0.4   ,2.8,0.1 ,18.39 ,0.39     ,5.3  ,1.0     ,1.7,0.6   ,0.67,18.78,0.04   ,20.5,0.7   ,0.44,0.74,0.054,0.501201282644
121,NGC4429   ,0.48,0.402,0.402,G,0.455,0.455,0.396,0.396,F,F,20.7,0.07   ,28.2 ,0.9   ,1.7,0.1 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.624571494898
122,NGC4434   ,1.15,0.058,0.082,G,0.249,0.186,0.288,0.199,F,F,21.1,0.19   ,65.2 ,6.6   ,2.7,0.3 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.694938144291
123,NGC4435   ,0.52,0.468,0.465,G,0.672,0.667,0.599,0.597,F,F,20.44,0.13   ,11.9 ,0.8   ,2.7,0.4 ,19.10 ,0.29     ,4.7  ,0.8     ,1.6,0.8   ,0.94,19.95,0.05   ,12.1,0.7   ,0.94,0.56,0.124,0.875483276677
124,NGC4442   ,0.62,0.335,0.307,G,0.35,0.329,0.363,0.338,F,F,20.48,0.07   ,26.7 ,0.9   ,4.7,0.3 ,17.85 ,0.04     ,4.1  ,0.1     ,0.6,0.1   ,0.77,17.89,0.01   ,12.7,0.1   ,0.61,0.83,0.006,0.610024829953
125,NGC4452   ,0.42,0.88,0.88,G,0.765,0.765,0.648,0.648,F,F,19.72,0.06   ,29.3 ,0.7   ,2.8,0.2 ,0.00  ,0.00     ,0.0  ,0.0     ,0.0,0.0   ,0.0,0.0,0.00   ,0.0,0.0   ,0.0,0.0,0.000,0.690770320992
126,NGC4459   ,0.64,0.148,0.128,G,0.477,0.45,0.438,0.408,F,F,21.48,0.09   ,19.9 ,0.9   ,2.7,0.3 ,21.92 ,0.32     ,18.3 ,3.0     ,5.3,1.3   ,0.87,20.51,0.08   ,12.0,0.7   ,0.89,0.28,0.026,1.14039466852
